,df,Plant type,Treatment,Dose ,sample,group,apH_beforefertilization,apH_First 7th,bHeight_First,cStem_First,dFresh biomass_Firstclip,dDry biomass_firstclip,dFresh biomass_Secondclip,dDry biomass_Secondclip,epH_before_Secondfertilization,fEC_Second,gHeight_Second,hStem_Second,iCholorophyll_Second,jAmmonia_Second Lechates_Before first fertilization ,kNitrate_Second Lechates_Before first fertilization ,lPhosphate_Second Lechates_Before first fertilization ,pH Harvest day,EC harvest day,Root Length (cm),Nodules Count,Shoot Biomass_harvestday Fresh ,Shoot Biomass_harvestday dry ,Root Biomass_harvestday,Root Biomass_harvestday dry ,Harvest day_Ammonium lechates (mg N/L) ,Chlorphyll data,Si   (%),Na _(ppm),Mg_ (ppm),Al_(ppm),P_(ppm),K_(ppm),Ca_(ppm),Fe_(ppm),Cl_(ppm),SiO2_(%),Ag_(cps)   ,Cu_(ppm),Mn_(ppm),S_(ppm),Zn_(ppm),Roots ,Si   (%),Na _(ppm),Mg_ (ppm),P_(ppm),K_(ppm),Ca_(ppm),Fe_(ppm),Cl_(ppm),SiO2_(%),Ag_(cps)   ,Cu_(ppm),Mn_(ppm),S_(ppm),Zn_(ppm),Al_(ppm)_Root,Si   (%),Na _(ppm),Mg_ (ppm),Al_(ppm),P_(ppm),K_(ppm),Ca_(ppm),Fe_(ppm),Cl_(ppm),SiO2_(%),Ag_(cps)   ,Cu_(ppm),Mn_(ppm),S_(ppm),Zn_(ppm)
21,A,L,5,C,eACK_1,eACK,5.54,5.46,33.4,5,11,4.33,10.11,4.2,6.37,0.72,53.4,11,50.9,-0.169,2.1137,0.355,5.7,0.72,21,19,39.11,27.25,9.55,5.8,0.0851,50.9,0.165,2577,1181,9,1941,21774,12798,78,19753,0.35,340.655,5,52,2265,51,,0.267,197,1683,2145,4787,1449,198,3573,0.57,279.153,4,33,1229,45,231,0.267,197,1683,231,2145,4787,1449,198,3573,0.57,279.153,4,33,1229,45
22,A,L,5,C,eACK_2,eACK,5.43,5.55,22.5,7,14.2,4.46,13.16,4.34,6.27,0.54,44.9,13,46.8,0.022,4.5706,0.263,5.77,0.54,20,12,37.84,28.11,14.89,7.86,0.0611,46.8,0.224,2812,1173,91,2061,16047,9822,119,21729,0.48,404.294,6,55,1941,60,,0.262,483,1644,2457,5009,1999,231,4210,0.56,499.081,6,39,1373,50,305,0.262,483,1644,305,2457,5009,1999,231,4210,0.56,499.081,6,39,1373,50
23,A,L,5,C,eACK_3,eACK,5.48,5.48,19.5,5,12.38,4.33,11.38,4.26,5.87,0.57,31.5,14,49.1,-0.048,4.8356,0.56,5.33,0.57,21,11,36.27,28.35,12.48,7.03,0.019,49.1,0.293,2183,1538,81,2083,15636,12611,154,16727,0.63,427.279,6,75,2880,92,,0.161,-711,1830,313,-703,77,58,623,0.34,97.084,3,20,-1269,44,206,0.161,-711,1830,206,313,-703,77,58,623,0.34,97.084,3,20,-1269,44
24,A,L,5,C,eACK_4,eACK,5.52,5.47,27,5,11.66,4.52,9.66,4.27,5.66,0.53,45.5,14,47.6,-0.385,1.457,0.322,5.5,0.53,22,14,39.13,28.48,13.69,7.2,0.0824,47.6,0.176,2955,1099,28,2611,21212,10752,78,22397,0.38,391.375,6,61,2631,64,,0.278,44,1716,1953,4150,1201,192,3399,0.6,254.494,5,39,925,93,217,0.278,44,1716,217,1953,4150,1201,192,3399,0.6,254.494,5,39,925,93
25,A,L,5,C,eACK_5,eACK,5.54,5.46,8.7,5,12.2,4.3,10.2,4.54,5.81,0.52,29.2,15,44.3,0.595,1.9143,0.641,5.88,0.52,30,15,14.74,8.08,12.54,6.81,3.414,44.3,0.306,2477,1309,71,2174,19512,12296,143,17960,0.66,484.13,6,75,2250,70,,0.28,414,1646,2568,6339,1688,218,4570,0.6,433.747,7,42,1256,62,257,0.28,414,1646,257,2568,6339,1688,218,4570,0.6,433.747,7,42,1256,62
1,B,P,1,UF_100 ,fBUF100_1,fBUF100,5.56,5.59,15.5,9,293,4.64,28.44,4.2,5.57,0.71,58,33,40,46.995,17.5552,0.162,5.25,0.71,31,0,54.57,34.56,25.1,8.12,-0.008,40,0.728,5376,38,127,2117,16480,4282,34,41675,1.56,322.153,4,139,2782,127,,5.072,-87,1573,1083,3208,1371,1979,6003,10.85,416.954,8,232,204,232,978,5.072,-87,1573,978,1083,3208,1371,1979,6003,10.85,416.954,8,232,204,232
2,B,P,1,UF_100 ,fBUF100_2,fBUF100,5.58,5.54,15.8,8,35.02,4.63,34.05,4.57,5.66,0.57,67.5,29,44.9,85.166,74.5813,0.018,5.49,0.57,32,0,44.19,31.72,29.25,8.85,5.1141,44.9,0.757,5825,-41,121,2350,16826,4813,-10,44688,1.62,289.484,4,156,3851,106,,4.348,464,1480,1200,5930,1279,1553,8631,9.3,424.577,7,246,329,177,1269,4.348,464,1480,1269,1200,5930,1279,1553,8631,9.3,424.577,7,246,329,177
3,B,P,1,UF_100 ,fBUF100_3,fBUF100,5.6,5.56,11.3,8,34.23,4.35,33.27,4.42,5.82,0.58,61.4,34,41.2,40.029,89.2935,0.007,5.27,0.58,27,0,45.76,32.83,20.77,8.39,4.8463,41.2,0.677,5525,36,68,2106,23020,4101,-2,42596,1.45,304.291,4,143,3447,80,,5.017,182,1484,1347,3552,1358,1872,6982,10.73,548.335,8,211,592,194,824,5.017,182,1484,824,1347,3552,1358,1872,6982,10.73,548.335,8,211,592,194
4,B,P,1,UF_100 ,fBUF100_4,fBUF100,5.62,5.45,16.5,9,29.25,4.7,29.23,4.6,5.52,0.65,56,35,37.3,66.572,82.8929,0.015,5.24,0.65,28,0,45.26,31.94,27.94,8.15,6.681,37.3,0.629,5467,27,72,2500,23501,3782,-8,42364,1.35,243.434,4,146,3159,117,,6.637,-296,1513,640,2873,1077,1736,6400,14.2,418.292,7,187,-200,169,1234,6.637,-296,1513,1234,640,2873,1077,1736,6400,14.2,418.292,7,187,-200,169
5,B,P,1,UF_100 ,fBUF100_5,fBUF100,5.64,5.55,15.7,11,27.85,4.74,26.47,4.5,5.64,0.58,47,44,38.5,35.194,84.6768,0.047,5.05,0.58,25,0,41.15,32.61,18.19,6.53,92.9537,38.5,1.771,5061,167,251,1991,18571,4720,330,40370,3.79,319.064,4,190,2923,143,,2.909,570,1454,1557,4248,1637,1136,8144,6.22,468.178,9,174,1000,119,778,2.909,570,1454,778,1557,4248,1637,1136,8144,6.22,468.178,9,174,1000,119
